"","RM_RF","SMB","HML"
"197",5.21,2.44,-3.27
"198",1.79,4.34,-1.99
"199",5.51,1.9,1.83
"200",-1.22,-1.61,0.61
"201",-12.9,-6.94,-1.06
"202",3.97,0.99,1.05
"203",5.26,2.12,0.39
"204",3.06,1.48,-0.89
"205",6.49,3.95,-6.34
"206",1.8,4.25,-2.64
"207",2.19,0.58,-4.75
"208",1.06,2.36,-2.77
"209",9.59,-3.43,-8.44
"210",-4.52,-0.32,2.71
"211",-5.04,3.36,6.82
"212",0.56,-0.47,1.03
"213",3.56,3.06,0.7
"214",-2.1,4.61,2.31
"215",0.11,2.46,-0.41
"216",-2.36,-0.98,5.09
"217",-1.54,-1.98,-0.6
"218",-7.03,-1.82,4.83
"219",-7.17,-2.51,5.18
"220",4.92,2.25,-4.2
"221",3.36,-1.36,1.91
"222",-3.65,1.19,0.75
"223",-3.24,-1.2,3.13
"224",-5.86,0.33,6.04
"225",-1.87,0,3.81
"226",3.27,1.18,-2.79
"227",-3.99,0.55,1.82
"228",-3.09,-0.52,1.55
"229",-3.19,0.95,0.18
"230",11.14,-4.29,1.16
"231",1.29,2.59,0.33
"232",11.3,1.92,-3.69
"233",4.67,4.52,-1.93
"234",0.55,0.01,0.02
"235",3.6,3.27,-0.87
"236",2.59,2.91,0.68
"237",2.82,1.41,2.05
"238",6.67,0.46,0.57
"239",0.52,6.22,-1.37
"240",3.07,1.15,-3.87
"241",-4.07,0.97,5.59
"242",-0.5,-4.33,5.51
"243",0.92,0.24,1.07
"244",-3.44,-3.82,5.02
"245",2.16,1.89,-0.64
"246",-1.78,-0.46,1.7
"247",-1.92,-0.07,7.61
"248",-4.82,-1.61,3.31
"249",0.63,-0.29,0.49
"250",-0.52,-1.02,1.24
"251",-5.97,0.11,0.23
"252",1.82,0.09,-2.59
"253",-2.74,-2.25,0.4
"254",10.28,-0.28,-1.79
"255",-0.8,0.01,5.29
"256",-0.84,-1.44,0.48
"257",-1.76,-0.99,4.04
"258",1.84,-0.67,-0.14
"259",7.99,3.51,-5.38
"260",1.22,0.99,-0.15
"261",-0.84,-1.49,4.07
"262",-0.96,-0.1,3.72
